Sensor_48,Sensor_80,Sensor_112,Sensor_176,Sensor_87,Sensor_103,Sensor_88,Sensor_89,Sensor_104,Sensor_105,Sensor_91,Sensor_107,Label
307,376,227,400,1904,1562,1062,174,888,78,0,0,normal
301,379,221,400,1905,1556,1070,177,888,75,0,0,normal
303,380,218,399,1915,1548,1084,185,882,75,0,0,normal
303,379,225,399,1906,1556,1089,185,894,71,0,0,normal
307,372,221,404,1907,1569,1087,182,905,78,0,0,normal
307,369,224,399,1963,1622,1089,180,935,77,0,0,normal
285,367,211,362,2358,1979,1211,236,1117,97,0,0,normal
302,363,206,362,2209,1808,1166,172,1030,98,0,0,normal
214,309,238,311,4519,3834,2322,793,2086,593,0,0,normal
336,423,175,438,2128,2352,1241,312,1489,294,0,0,normal
443,473,157,528,1670,1840,1003,195,1018,132,0,0,normal
435,444,158,519,1690,1979,1005,212,1138,147,0,0,normal
311,377,178,388,1634,1529,917,176,892,110,0,0,normal
278,346,188,349,2860,1986,1259,176,820,107,0,0,normal
298,350,160,379,1640,1475,420,48,417,38,0,0,normal
350,388,175,346,1288,1421,289,10,191,7,0,0,normal
236,332,222,340,139,273,58,14,68,2,0,0,normal
235,287,221,390,5047,3297,3549,1385,1471,414,6,0,normal
244,294,211,385,4405,3279,2520,1121,1320,377,0,0,normal
328,421,184,387,1963,1163,1147,433,791,237,0,0,normal
409,442,175,567,770,533,197,17,200,59,0,0,normal
409,414,151,381,826,1177,889,840,1090,725,0,21,normal
294,357,194,232,441,470,1478,2936,1283,2271,979,932,normal
396,439,153,509,651,954,2144,2234,2273,2498,422,866,normal
579,559,143,528,885,886,1427,1366,1318,1403,180,445,normal
472,523,155,502,1096,1214,1733,1679,1874,1910,208,539,normal
477,539,163,525,988,1125,1630,1656,1897,1969,249,547,normal
369,431,164,457,685,952,1919,2833,2709,2883,483,809,normal
477,492,152,501,810,967,1593,2243,1957,2289,294,708,normal
478,515,153,534,675,710,1391,1984,1993,2327,318,833,normal
547,582,137,571,786,779,1646,1908,2014,2165,312,853,normal
464,524,167,493,969,1184,2482,2735,2555,2727,301,764,normal
363,439,166,452,927,1476,2452,2749,3286,2630,333,699,normal
391,449,165,484,829,1229,2321,2619,2820,2498,384,705,normal
389,437,170,484,774,1134,2323,2755,2775,2681,411,743,normal
389,452,174,500,782,1103,2362,2832,2769,2760,456,818,normal
400,438,167,476,530,578,1581,2764,2459,3306,576,1119,normal
424,457,170,483,599,647,889,1398,1300,1497,152,532,normal
416,421,177,445,686,734,924,989,1275,1497,139,573,normal
422,417,175,446,724,782,978,1086,1321,1502,166,582,normal
428,427,165,456,697,839,959,1061,1369,1586,176,578,normal
421,397,165,447,706,848,964,1067,1406,1638,167,603,normal
429,427,159,432,835,1047,1206,1274,1845,2015,188,656,normal
497,524,135,549,883,1144,1466,1678,2027,2117,207,594,normal
500,549,152,531,1193,1487,1686,1485,1796,1500,103,379,normal
482,518,168,555,1231,1524,1421,1151,1563,1171,66,265,normal
451,483,159,551,1282,1636,1580,1348,1676,1249,80,316,normal
495,475,174,539,1283,1624,1498,1331,1644,1275,86,332,normal
500,501,160,542,1309,1626,1545,1363,1666,1301,96,344,normal
468,492,161,495,1248,1593,1597,1462,1784,1418,113,401,normal
